Latitude,Longitude,UTC,Pollutant,Concentration,Unit,Raw_Concentration,AQI,Category,Site_Name,Site_Agency,AQS_ID,Full_AWS_ID
47.597222,-122.319722,2021-02-17T05:00:00Z,PM2.5,7.8,UG/M3,6,33,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-02-17T05:00:00Z,OZONE,28,PPB,30.0507,26,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.753633,-122.277192,2021-02-17T05:00:00Z,PM2.5,10.1,UG/M3,12.1,42,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.386101,-122.230202,2021-02-17T05:00:00Z,PM2.5,6.5,UG/M3,8,27,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-02-17T05:00:00Z,PM2.5,6.7,UG/M3,8,28,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.592675,-122.627397,2021-02-17T06:00:00Z,PM2.5,7,UG/M3,6,29,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.2656,-122.3858,2021-02-17T06:00:00Z,PM2.5,5.1,UG/M3,7.1,21,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
47.5297,-122.3203,2021-02-17T06:00:00Z,PM2.5,5.7,UG/M3,6.6,24,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T06:00:00Z,PM2.5,5.9,UG/M3,4,25,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-02-17T06:00:00Z,OZONE,25,PPB,24.8099,23,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.753633,-122.277192,2021-02-17T06:00:00Z,PM2.5,14.5,UG/M3,18.9,56,2,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.386101,-122.230202,2021-02-17T06:00:00Z,PM2.5,6.2,UG/M3,6,26,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-02-17T06:00:00Z,PM2.5,7.3,UG/M3,8,30,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.4902,-121.772697,2021-02-17T06:00:00Z,PM2.5,6,UG/M3,7.3,25,1,North Bend-North Bend Way (SO),Washington Department of Ecology,530330017,840530330017
47.592675,-122.627397,2021-02-17T07:00:00Z,PM2.5,8,UG/M3,9,33,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.5297,-122.3203,2021-02-17T07:00:00Z,PM2.5,5.9,UG/M3,6.3,25,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T07:00:00Z,PM2.5,7.9,UG/M3,10,33,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-02-17T07:00:00Z,OZONE,24,PPB,21.2626,22,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.753633,-122.277192,2021-02-17T07:00:00Z,PM2.5,18.3,UG/M3,22.2,64,2,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
48.055,-122.175797,2021-02-17T07:00:00Z,PM2.5,6.6,UG/M3,6,28,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.4902,-121.772697,2021-02-17T07:00:00Z,PM2.5,9.4,UG/M3,12.9,39,1,North Bend-North Bend Way (SO),Washington Department of Ecology,530330017,840530330017
47.592675,-122.627397,2021-02-17T08:00:00Z,PM2.5,7.5,UG/M3,7,31,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T08:00:00Z,PM2.5,6.3,UG/M3,8,26,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.562,-122.3405,2021-02-17T08:00:00Z,PM2.5,5,UG/M3,6,21,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T08:00:00Z,PM2.5,5.9,UG/M3,5.9,25,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T08:00:00Z,PM2.5,7.4,UG/M3,7,31,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-02-17T08:00:00Z,OZONE,23,PPB,22.2091,21,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.753633,-122.277192,2021-02-17T08:00:00Z,PM2.5,18.9,UG/M3,19.6,65,2,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
48.055,-122.175797,2021-02-17T08:00:00Z,PM2.5,6.8,UG/M3,7,28,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.4902,-121.772697,2021-02-17T08:00:00Z,PM2.5,12.9,UG/M3,16.3,53,2,North Bend-North Bend Way (SO),Washington Department of Ecology,530330017,840530330017
47.592675,-122.627397,2021-02-17T09:00:00Z,PM2.5,7.7,UG/M3,8,32,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T09:00:00Z,PM2.5,6.1,UG/M3,6,25,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-02-17T09:00:00Z,PM2.5,5.8,UG/M3,7,24,1,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.562,-122.3405,2021-02-17T09:00:00Z,PM2.5,6.5,UG/M3,8,27,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T09:00:00Z,PM2.5,5.8,UG/M3,5.7,24,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T09:00:00Z,PM2.5,6.2,UG/M3,5,26,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.753633,-122.277192,2021-02-17T09:00:00Z,PM2.5,15.9,UG/M3,12.9,59,2,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
48.055,-122.175797,2021-02-17T09:00:00Z,PM2.5,7.4,UG/M3,8,31,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.4902,-121.772697,2021-02-17T09:00:00Z,PM2.5,12.4,UG/M3,12,52,2,North Bend-North Bend Way (SO),Washington Department of Ecology,530330017,840530330017
47.592675,-122.627397,2021-02-17T10:00:00Z,PM2.5,8.8,UG/M3,10,37,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T10:00:00Z,PM2.5,6,UG/M3,6,25,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.562,-122.3405,2021-02-17T10:00:00Z,PM2.5,6.7,UG/M3,7,28,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T10:00:00Z,PM2.5,5.9,UG/M3,6.1,25,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T10:00:00Z,PM2.5,6.1,UG/M3,6,25,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.753633,-122.277192,2021-02-17T10:00:00Z,PM2.5,13,UG/M3,10.2,53,2,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
48.055,-122.175797,2021-02-17T10:00:00Z,PM2.5,7.7,UG/M3,8,32,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.4902,-121.772697,2021-02-17T10:00:00Z,PM2.5,11.7,UG/M3,11,49,1,North Bend-North Bend Way (SO),Washington Department of Ecology,530330017,840530330017
47.592675,-122.627397,2021-02-17T11:00:00Z,PM2.5,7.9,UG/M3,7,33,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T11:00:00Z,PM2.5,5.5,UG/M3,5,23,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.562,-122.3405,2021-02-17T11:00:00Z,PM2.5,6.3,UG/M3,6,26,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T11:00:00Z,PM2.5,5.7,UG/M3,5.5,24,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T11:00:00Z,PM2.5,5,UG/M3,4,21,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.753633,-122.277192,2021-02-17T11:00:00Z,PM2.5,10.9,UG/M3,8.8,45,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
48.055,-122.175797,2021-02-17T11:00:00Z,PM2.5,10.3,UG/M3,13,43,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.4902,-121.772697,2021-02-17T11:00:00Z,PM2.5,7.6,UG/M3,3.5,32,1,North Bend-North Bend Way (SO),Washington Department of Ecology,530330017,840530330017
47.592675,-122.627397,2021-02-17T12:00:00Z,PM2.5,6.9,UG/M3,6,29,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T12:00:00Z,PM2.5,6.7,UG/M3,8,28,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-02-17T12:00:00Z,PM2.5,5.2,UG/M3,6,22,1,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.562,-122.3405,2021-02-17T12:00:00Z,PM2.5,5.6,UG/M3,5,23,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T12:00:00Z,PM2.5,5.8,UG/M3,5.9,24,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T12:00:00Z,PM2.5,5.5,UG/M3,6,23,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.753633,-122.277192,2021-02-17T12:00:00Z,PM2.5,9,UG/M3,7.2,38,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
48.055,-122.175797,2021-02-17T12:00:00Z,PM2.5,10.1,UG/M3,10,42,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.592675,-122.627397,2021-02-17T13:00:00Z,PM2.5,6.7,UG/M3,6,28,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T13:00:00Z,PM2.5,6.3,UG/M3,6,26,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.562,-122.3405,2021-02-17T13:00:00Z,PM2.5,5.8,UG/M3,6,24,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-02-17T13:00:00Z,PM2.5,6,UG/M3,6.5,25,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-02-17T13:00:00Z,NO2,29,PPB,29.9,27,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-02-17T13:00:00Z,PM2.5,6.2,UG/M3,7,26,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.498535,-122.278385,2021-02-17T13:00:00Z,PM2.5,5.2,UG/M3,5.6,22,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.753633,-122.277192,2021-02-17T13:00:00Z,PM2.5,7.7,UG/M3,6.4,32,1,Lake Forest Park-Town Center,Washington Department of Ecology,530330024,840530330024
47.386101,-122.230202,2021-02-17T13:00:00Z,PM2.5,5.9,UG/M3,7,25,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-02-17T13:00:00Z,PM2.5,9,UG/M3,8,38,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.592675,-122.627397,2021-02-17T14:00:00Z,PM2.5,6.4,UG/M3,6,27,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-02-17T14:00:00Z,PM2.5,6.1,UG/M3,6,25,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.22634,-122.46256,2021-02-17T14:00:00Z,NO2,22,PPB,22.2,21,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
