Latitude,Longitude,UTC,Pollutant,Concentration,Unit,Raw_Concentration,AQI,Category,Site_Name,Site_Agency,AQS_ID,Full_AWS_ID
47.22634,-122.46256,2021-03-08T20:00:00Z,PM2.5,5.4,UG/M3,5,23,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.2656,-122.3858,2021-03-08T20:00:00Z,PM2.5,5.3,UG/M3,3.5,22,1,Tacoma-Alexander Ave,Washington Department of Ecology,530530031,840530530031
47.559975,-122.338265,2021-03-08T20:00:00Z,PM2.5,6.1,UG/M3,5,25,1,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-03-08T20:00:00Z,PM2.5,7.5,UG/M3,6.4,31,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-08T20:00:00Z,NO2,31,PPB,31,29,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-08T20:00:00Z,PM2.5,5.6,UG/M3,5,23,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.498535,-122.278385,2021-03-08T20:00:00Z,PM2.5,6.2,UG/M3,5.4,26,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.386101,-122.230202,2021-03-08T20:00:00Z,PM2.5,10.9,UG/M3,9,45,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
47.592675,-122.627397,2021-03-08T21:00:00Z,PM2.5,5.2,UG/M3,5,22,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.5297,-122.3203,2021-03-08T21:00:00Z,PM2.5,6.6,UG/M3,5.8,28,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-08T21:00:00Z,NO2,29,PPB,29.1,27,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-08T21:00:00Z,PM2.5,5.3,UG/M3,5,22,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-08T21:00:00Z,OZONE,23,PPB,29.2601,21,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.498535,-122.278385,2021-03-08T21:00:00Z,PM2.5,5.2,UG/M3,4.3,22,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.386101,-122.230202,2021-03-08T21:00:00Z,PM2.5,8.9,UG/M3,7,37,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
47.22634,-122.46256,2021-03-08T22:00:00Z,NO2,22,PPB,22.1,21,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.5297,-122.3203,2021-03-08T22:00:00Z,PM2.5,5.7,UG/M3,4.9,24,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-08T22:00:00Z,NO2,31,PPB,31.7,29,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-08T22:00:00Z,PM2.5,5.1,UG/M3,5,21,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-08T22:00:00Z,OZONE,24,PPB,28.4158,22,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.386101,-122.230202,2021-03-08T22:00:00Z,PM2.5,7.9,UG/M3,7,33,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
47.22634,-122.46256,2021-03-08T23:00:00Z,PM2.5,6.4,UG/M3,8,27,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.5297,-122.3203,2021-03-08T23:00:00Z,PM2.5,5.3,UG/M3,5,22,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-08T23:00:00Z,NO2,37,PPB,37.4,35,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-08T23:00:00Z,PM2.5,5,UG/M3,5,21,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-08T23:00:00Z,OZONE,26,PPB,27.2214,24,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.386101,-122.230202,2021-03-08T23:00:00Z,PM2.5,5.9,UG/M3,4,25,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
47.22634,-122.46256,2021-03-09T00:00:00Z,PM2.5,6.7,UG/M3,7,28,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.22634,-122.46256,2021-03-09T00:00:00Z,NO2,25,PPB,25.5,24,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.5297,-122.3203,2021-03-09T00:00:00Z,PM2.5,5.3,UG/M3,5.3,22,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-09T00:00:00Z,NO2,34,PPB,34.6,32,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-09T00:00:00Z,OZONE,29,PPB,32.3847,27,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
48.055,-122.175797,2021-03-09T00:00:00Z,PM2.5,5.4,UG/M3,7,23,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.592675,-122.627397,2021-03-09T01:00:00Z,PM2.5,5.9,UG/M3,7,25,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-03-09T01:00:00Z,PM2.5,7.8,UG/M3,9,33,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.22634,-122.46256,2021-03-09T01:00:00Z,NO2,26,PPB,26.6,25,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-03-09T01:00:00Z,PM2.5,5.3,UG/M3,6,22,1,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.559975,-122.338265,2021-03-09T01:00:00Z,PM2.5,22.6,UG/M3,42,73,2,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-03-09T01:00:00Z,PM2.5,5.7,UG/M3,6.2,24,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-09T01:00:00Z,NO2,34,PPB,34,32,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-09T01:00:00Z,OZONE,24,PPB,27.2099,22,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.386101,-122.230202,2021-03-09T01:00:00Z,PM2.5,5.4,UG/M3,6,23,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-03-09T01:00:00Z,PM2.5,8.7,UG/M3,12,36,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.213551,-123.100807,2021-03-09T02:00:00Z,PM2.5,5.5,UG/M3,6.7,23,1,Shelton-W Franklin,Washington Department of Ecology,530450007,840530450007
47.592675,-122.627397,2021-03-09T02:00:00Z,PM2.5,5.9,UG/M3,6,25,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-03-09T02:00:00Z,PM2.5,7.9,UG/M3,8,33,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-03-09T02:00:00Z,PM2.5,6.1,UG/M3,7,25,1,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.559975,-122.338265,2021-03-09T02:00:00Z,PM2.5,14.3,UG/M3,6,56,2,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-03-09T02:00:00Z,PM2.5,6.5,UG/M3,7.4,27,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-09T02:00:00Z,NO2,36,PPB,36.4,34,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-09T02:00:00Z,PM2.5,6.7,UG/M3,10,28,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.568236,-122.308628,2021-03-09T02:00:00Z,NO2,29,PPB,29.21563,27,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.568236,-122.308628,2021-03-09T02:00:00Z,PM2.5,5.6,UG/M3,8,23,1,Seattle-Beacon Hill,Washington Department of Ecology,530330080,840530330080
47.498535,-122.278385,2021-03-09T02:00:00Z,PM2.5,9.9,UG/M3,15.2,41,1,Tukwila_Allentown,Washington Department of Ecology,840530330069,840530330069
47.386101,-122.230202,2021-03-09T02:00:00Z,PM2.5,8.7,UG/M3,12,36,1,Kent-James & Central,Washington Department of Ecology,530332004,840530332004
48.055,-122.175797,2021-03-09T02:00:00Z,PM2.5,11.8,UG/M3,15,49,1,Marysville-7th Ave,Washington Department of Ecology,530611007,840530611007
47.213551,-123.100807,2021-03-09T03:00:00Z,PM2.5,5.6,UG/M3,5.8,23,1,Shelton-W Franklin,Washington Department of Ecology,530450007,840530450007
47.592675,-122.627397,2021-03-09T03:00:00Z,PM2.5,6.9,UG/M3,8,29,1,Bremerton-Spruce Ave,Washington Department of Ecology,530350007,840530350007
47.22634,-122.46256,2021-03-09T03:00:00Z,PM2.5,6.9,UG/M3,6,29,1,Tacoma-S 36th St,Washington Department of Ecology,530530024,840530530024
47.1864,-122.4517,2021-03-09T03:00:00Z,PM2.5,6,UG/M3,6,25,1,Tacoma-L St,Washington Department of Ecology,530530029,840530530029
47.559975,-122.338265,2021-03-09T03:00:00Z,PM2.5,14.1,UG/M3,14,55,2,Seattle-Duwamish,Washington Department of Ecology,530330057,840530330057
47.5297,-122.3203,2021-03-09T03:00:00Z,PM2.5,10.6,UG/M3,14.7,44,1,Seattle-South Park,Washington Department of Ecology,530331011,840530331011
47.597222,-122.319722,2021-03-09T03:00:00Z,PM2.5,10.3,UG/M3,14,43,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
47.597222,-122.319722,2021-03-09T03:00:00Z,NO2,36,PPB,36.2,34,1,Seattle-10th & Weller,Washington Department of Ecology,530330030,840530330030
